,gaokaoId,birthdate
0,19640102100101,12/19/2000
1,19640102100102,11/08/1999
2,19640102100103,09/16/2000
3,19640102100104,07/18/2000
4,19640102100105,04/16/1999
5,19640102100106,12/17/1999
6,19640102100107,09/16/2001
7,19640102100108,02/15/2001
8,19640102100109,02/16/2001
9,19640102100110,02/25/2000
10,19640102100111,03/11/2001
11,19640102100112,09/29/2000
12,19640102100113,11/25/2000
13,19640102100114,11/02/2002
14,19640102100115,08/25/2001
15,19640102100116,05/23/2000
16,19640102100117,02/18/2001
17,19640102100118,05/10/1999
18,19640102100119,06/24/2000
19,19640102100120,10/13/2001
20,19640102100121,05/30/2000
21,19640102100122,06/12/2000
22,19640102100123,11/12/2000
23,19640102100124,11/28/1998
24,19640102100125,12/30/2000
25,19640102100126,03/06/2000
26,19640102100127,05/24/2001
27,19640102100128,03/09/2000
28,19640102100129,11/03/2000
29,19640102100130,06/04/2001
30,19640102100131,07/05/2000
31,19640102100132,11/24/1999
32,19640102100133,08/28/2001
33,19640102100134,12/29/2000
34,19640102100135,10/21/2000
35,19640102100136,08/28/2001
36,19640102100137,03/22/2001
37,19640102100138,06/26/1999
38,19640102100139,04/07/2000
39,19640102100140,02/10/2001
40,19640102100141,04/29/2001
41,19640102100142,06/24/2000
42,19640102100143,12/25/2000
43,19640102100144,04/25/2001
44,19640102100145,10/29/2000
45,19640102100146,07/14/2001
46,19640102100147,02/24/2001
47,19640102100148,10/19/2001
48,19640102100149,09/17/2000
49,19640102100150,02/09/2001
50,19640102100151,03/12/2000
51,19640102100152,10/26/2000
52,19640102100153,12/08/1999
53,19640102100154,02/18/2001
54,19640102100201,10/10/1999
55,19640102100202,01/20/2001
56,19640102100203,10/17/2001
57,19640102100204,10/03/2001
58,19640102100205,08/12/2001
59,19640102100206,02/11/2001
60,19640102100207,07/31/2002
61,19640102100208,05/31/2001
62,19640102100301,10/10/2000
63,19640102100302,12/08/2000
64,19640102100303,04/21/2001
65,19640102100304,08/01/2000
66,19640102100305,03/14/2000
67,19640102100306,11/04/2000
68,19640102100307,09/05/2000
69,19640102100308,09/28/2000
70,19640102100309,11/04/2000
71,19640102100310,03/26/2001
72,19640102100311,05/16/2001
73,19640102100312,02/02/2001
74,19640102100313,10/22/1998
75,19640102100314,07/19/2001
76,19640102100315,03/13/2000
77,19640102100316,07/03/2000
78,19640102100317,02/18/2001
79,19640102100318,08/02/2001
80,19640102100319,12/25/2000
81,19640102100320,08/10/2001
82,19640102100321,04/07/2000
83,19640102100322,06/24/2001
84,19640102100323,08/01/2000
85,19640102100324,06/01/1998
86,19640102100325,03/30/2000
87,19640102100326,02/24/2001
88,19640102100327,12/20/2000
89,19640102100328,02/07/1999
90,19640102100329,11/11/2000
91,19640102100330,05/20/2001
92,19640102100331,04/21/2001
93,19640102100332,05/07/2001
94,19640102100333,07/29/2001
95,19640102100334,05/17/2001
96,19640102100335,04/13/1999
97,19640102100336,02/12/2001
98,19640102100337,01/03/1998
99,19640102100338,10/18/2000
100,19640102100339,10/11/1999
101,19640102100340,01/04/2000
102,19640102100341,02/26/2001
103,19640102100342,10/19/1999
104,19640102100343,08/07/2000
105,19640102100344,10/05/2000
106,19640102100345,03/05/2001
107,19640102100346,12/05/1998
108,19640102100347,05/21/2000
109,19640102100348,05/05/1999
110,19640102100349,04/01/2001
111,19640102100350,11/05/1999
112,19640102100351,07/20/1997
113,19640102100352,01/26/2000
114,19640102100353,08/16/1999
115,19640102100354,04/19/2001
116,19640102100355,10/28/2000
117,19640102100356,03/13/2000
118,19640102100357,09/08/1997
119,19640102100358,02/02/1999
120,19640102100359,11/07/2000
121,19640102100360,02/07/2000
122,19640102100361,03/18/1999
123,19640102100362,01/29/2000
124,19640102100363,12/30/1999
125,19640102100364,07/25/2000
126,19640102100365,04/19/2000
127,19640102100366,08/02/1999
128,19640102100367,10/03/1999
129,19640102100368,11/05/1999
130,19640102100369,08/13/1999
131,19640102100370,08/07/1999
132,19640102100371,06/14/2000
133,19640102100372,10/27/2000
134,19640102100373,01/06/2001
135,19640102100374,11/17/1999
136,19640102100375,12/31/1999
137,19640102100376,08/06/2000
138,19640102100377,04/01/1998
139,19640102100378,01/02/2000
140,19640102100379,12/27/1999
141,19640102100380,08/16/2000
142,19640102100381,11/28/1999
143,19640102100382,06/10/1999
144,19640102100383,04/16/2000
145,19640102100384,12/05/2000
146,19640102100385,03/03/2000
147,19640102100386,06/28/1999
148,19640102100387,08/01/2000
149,19640102100388,11/08/1999
150,19640102100389,12/30/1999
151,19640102100390,01/14/2000
152,19640102100391,01/25/2000
153,19640102100392,09/12/2001
154,19640102100393,08/05/2000
155,19640102100394,01/04/2000
156,19640102100395,05/10/1999
157,19640102100396,09/28/2000
158,19640102100397,01/30/2000
159,19640102100398,10/03/2001
